name,lat,lon,x,y
Kuala Lumpur,3.1667,101.7,1013,507
Putrajaya,2.914,101.7019,1015,506
Kelang,3.0204,101.55,1016,511
Matola,-25.9696,32.46,760,602
Windhoek,-22.57,17.0835,702,592
We,-20.9,167.2667,1252,589
Noumea,-22.2625,166.4443,1253,590
Niamey,13.5167,2.1167,650,486
Agadez,16.9959,7.9828,678,471
Kingston,-29.0569,167.9617,1209,576
Abuja,9.0833,7.5333,668,499
Lagos,6.4433,3.3915,657,508
Sokoto,13.06,5.24,676,489
Managua,12.153,-86.2685,319,489
Amsterdam,52.35,4.9166,662,342
The Hague,52.08,4.27,662,342
Haarlem,52.3804,4.63,662,342
Groningen,53.2204,6.58,662,342
Rotterdam,51.92,4.48,662,342
Oslo,59.9167,10.75,662,301
Barum,59.9135,11.3472,662,301
Hammerfest,70.6613,23.688,712,234
Moss,59.437,10.6692,679,304
Kathmandu,27.7167,85.3166,962,440
Bhairawa,27.5333,83.3833,958,438
Pokhara,28.264,83.972,960,442
Queenstown,-45.0227,168.7251,1263,678
Wellington,-41.3,174.7833,1291,659
Auckland,-36.8481,174.763,1292,659
New Plymouth,-39.0556,174.0748,1289,651
Muscat,23.6133,58.5933,854,454
Ibri,23.2254,56.517,847,466
Panama City,8.968,-79.533,343,498
Lima,-12.048,-77.0501,357,555
Abancay,-13.6396,-72.89,381,560
Port Moresby,-9.4647,147.1925,1187,551
Papeete,-17.5334,-149.5667,1348,534
Manila,14.6042,120.9822,1091,474
San Jose,10.18,125.5683,1090,482
San Juan,14.6,121.0333,1102,502
Islamabad,33.7,73.1666,909,422
Lahore,31.56,74.35,913,432
Peshawar,34.005,71.535,902,432
Rawalpindi,33.6,73.04,908,427
Gda?sk,54.36,18.64,712,337
Krakow,50.06,19.96,712,338
Warsaw,52.25,21,712,339
Saint-Pierre,46.7811,-56.1764,396,284
Adamstown,-25.0667,-130.0833,20,499
Lisbon,38.7227,-9.1449,611,402
Ngerulmud,7.5,134.6242,1145,510
Bella Vista,-22.1296,-56.52,358,562
Asuncion,-25.2964,-57.6415,358,552
Doha,25.2866,51.533,860,420
St.-Denis,-20.8789,55.4481,846,589
Bucharest,44.4334,26.0999,736,370
Cluj-Napoca,46.7884,23.5984,736,370
Belgrade,44.8186,20.468,712,359
Omsk,54.99,73.4,916,333
St. Petersburg,59.939,30.316,746,314
Moscow,55.7522,37.6155,786,315
Murmansk,68.97,33.1,804,258
Kaliningrad,54.7,20.4973,744,326
Vladivostok,43.13,131.91,1138,380
Kigali,-1.9536,30.0605,764,562
Medina,24.5,39.58,787,454
Makkah,21.43,39.82,791,454
Riyadh,24.6408,46.7727,806,456
Jeddah,21.5169,39.2192,791,454
Victoria,-4.6166,55.45,834,555
Khartoum,15.5881,32.5342,756,474
Stockholm,59.3508,18.0973,702,306
Singapore,1.293,103.8558,1027,523
Ljubljana,46.0553,14.515,695,371
Bratislava,48.15,17.117,714,359
Freetown,8.47,-13.2342,598,499
San Marino,43.9172,12.4667,687,380
Dakar,14.7158,-17.4731,581,484
Mogadishu,2.0667,45.3667,810,516
Paramaribo,5.835,-55.167,436,513
Juba,4.83,31.58,759,510
Malakal,9.5369,31.656,759,510
San Salvador,13.71,-89.203,314,484
Damascus,33.5,36.3,784,415
Lobamba,-26.4667,31.2,760,608
Ndjamena,12.1131,15.0491,697,487
Lome,6.1319,1.2228,645,502
Bangkok,13.75,100.5166,1014,486
Phuket,7.8765,98.3815,1002,485
Nakhon Pathom,13.818,100.064,1012,479
Dushanbe,38.56,68.7739,906,398
Ashgabat,37.95,58.3833,847,401
Tataouine,33,10.4667,675,410
Tunis,36.8028,10.1797,675,423
Nukualofa,-21.1385,-175.2206,1317,589
Batman,37.8904,41.14,755,397
Ankara,39.9272,32.8644,771,397
Port-of-Spain,10.652,-61.517,415,494
Funafuti,-8.5167,179.2166,1304,552
Taipei,25.0358,121.5683,1090,454
Dodoma,-6.1833,35.75,776,546
Kiev,50.4334,30.5166,738,352
Chernobyl,51.3894,30.0989,738,352
Kampala,0.3167,32.5833,759,522
Montevideo,-34.858,-56.1711,438,631
Tashkent,41.3117,69.2949,670,304
El Dorado,6.7333,-61.6333,386,498
Caracas,10.501,-66.917,385,494
Hanoi,21.0333,105.85,1041,478
Ho Chi Minh City,10.78,106.695,1038,492
Port Vila,-17.7334,168.3166,1247,582
Apia,-13.8415,-171.7386,1337,566
Dubai,25.23,55.28,831,443
Abu Dhabi,24.4667,54.3666,830,452
Kabul,34.5167,69.1833,881,421
Saint Johns,17.118,-61.85,412,476
The Valley,18.2167,-63.05,366,471
Tirana,41.3275,19.8189,711,390
Luanda,-8.8383,13.2344,697,561
San Juan,-31.55,-68.52,414,654
Buenos Aires,-34.6025,-58.3975,383,622
Vienna,48.2,16.3666,696,363
Portland,-38.34,141.59,1800,645
Proserpine,-20.4162,148.5835,1183,583
Newcastle,-32.8453,151.815,1199,638
Adelaide,-34.935,138.6,1154,634
Perth,-31.955,115.84,1097,631
Queenstown,-42.0829,145.55,1185,666
Wollongong,-34.4154,150.89,1198,634
Hobart,-42.85,147.295,1187,670
Darwin,-12.4254,130.85,1126,565
Melbourne,-37.82,144.975,1178,648
Gold Coast,-28.0815,153.4482,1208,610
Canberra,-35.283,149.129,1194,648
Brisbane,-27.455,153.0351,1196,594
Oranjestad,12.5304,-70.029,372,492
Baku,40.3953,49.8622,817,394
Sarajevo,43.85,18.383,706,379
Bridgetown,13.102,-59.6165,423,486
Dhaka,23.7231,90.4086,978,452
Brussels,50.8333,4.3333,658,352
Ouagadougou,12.3703,-1.5247,634,490
Sofia,42.6833,23.3167,744,390
Manama,26.2361,50.5831,813,438
Bujumbura,-3.3761,29.36,752,536
Porto-Novo,6.4833,2.6166,644,506
Gustavia,17.8958,-62.8508,414,486
Hamilton,32.2942,-64.7839,402,423
Bandar Seri Begawan,4.8833,114.9333,1068,510
La Paz,-16.498,-68.15,393,586
Brasilia,-15.7833,-47.9161,457,586
Rio de Janeiro,-22.925,-43.225,469,599
Nassau,25.0834,-77.35,354,450
Freeport,26.5333,-78.7,354,450
Thimphu,27.473,89.639,978,439
Gaborone,-24.6463,25.9119,727,598
Minsk,53.9,27.5666,746,336
Belmopan,17.252,-88.7671,312,469
Uranium City,59.5666,-108.6166,251,310
Vancouver,49.2734,-123.1216,158,330
